2023-10-21 22:49:15 - CPU Usage: 100.0%, Memory Usage: 2.5%
2023-10-21 22:52:15 - CPU Usage: 106.7%, Memory Usage: 2.9%
2023-10-21 22:55:16 - CPU Usage: 100.0%, Memory Usage: 3.4%
2023-10-21 22:58:16 - CPU Usage: 106.7%, Memory Usage: 3.7%
2023-10-21 23:01:16 - CPU Usage: 106.7%, Memory Usage: 4.0%
2023-10-21 23:04:17 - CPU Usage: 0.0%, Memory Usage: 4.2%
2023-10-21 23:07:17 - CPU Usage: 6.7%, Memory Usage: 4.2%
2023-10-21 23:10:17 - CPU Usage: 0.0%, Memory Usage: 4.2%
2023-10-21 23:13:18 - CPU Usage: 0.0%, Memory Usage: 4.2%
2023-10-21 23:16:18 - CPU Usage: 0.0%, Memory Usage: 4.2%
2023-10-21 23:19:18 - CPU Usage: 0.0%, Memory Usage: 4.3%
2023-10-21 23:22:19 - CPU Usage: 100.0%, Memory Usage: 4.3%
2023-10-21 23:25:19 - CPU Usage: 100.0%, Memory Usage: 4.4%
2023-10-21 23:28:19 - CPU Usage: 100.0%, Memory Usage: 4.5%
2023-10-21 23:31:19 - CPU Usage: 100.0%, Memory Usage: 4.6%
2023-10-21 23:34:20 - CPU Usage: 100.0%, Memory Usage: 4.7%
2023-10-21 23:37:20 - CPU Usage: 100.0%, Memory Usage: 4.9%
2023-10-21 23:40:20 - CPU Usage: 106.7%, Memory Usage: 5.1%
2023-10-21 23:43:21 - CPU Usage: 106.7%, Memory Usage: 5.2%
2023-10-21 23:46:21 - CPU Usage: 100.0%, Memory Usage: 5.3%
2023-10-21 23:49:21 - CPU Usage: 100.0%, Memory Usage: 5.5%
2023-10-21 23:52:22 - CPU Usage: 100.0%, Memory Usage: 5.6%
2023-10-21 23:55:22 - CPU Usage: 113.3%, Memory Usage: 5.7%
2023-10-21 23:58:22 - CPU Usage: 100.0%, Memory Usage: 5.8%
2023-10-22 00:01:23 - CPU Usage: 106.7%, Memory Usage: 5.9%
2023-10-22 00:04:23 - CPU Usage: 100.0%, Memory Usage: 6.0%
2023-10-22 00:07:23 - CPU Usage: 100.0%, Memory Usage: 6.2%
2023-10-22 00:10:23 - CPU Usage: 93.3%, Memory Usage: 6.3%
2023-10-22 00:13:24 - CPU Usage: 106.7%, Memory Usage: 6.4%
2023-10-22 00:16:24 - CPU Usage: 100.0%, Memory Usage: 6.5%
2023-10-22 00:19:24 - CPU Usage: 0.0%, Memory Usage: 6.5%
2023-10-22 00:22:25 - CPU Usage: 0.0%, Memory Usage: 6.5%
2023-10-22 00:25:25 - CPU Usage: 0.0%, Memory Usage: 6.5%
2023-10-22 00:28:25 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:31:26 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:34:26 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:37:26 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:40:27 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:43:27 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:46:27 - CPU Usage: 6.7%, Memory Usage: 6.6%
2023-10-22 00:49:28 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:52:28 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:55:28 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 00:58:29 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 01:01:29 - CPU Usage: 0.0%, Memory Usage: 6.6%
2023-10-22 01:04:29 - CPU Usage: 0.0%, Memory Usage: 6.6%
